Number_of_card;Card_name;Is_in_sideboard
1;Marsh Flats;0
1;Deathrite Shaman;0
1;Vampire Hexmage;0
1;Dauthi Voidwalker;0
1;Elesh Norn, Grand Cenobite;0
1;Ulamog, the Ceaseless Hunger;0
1;Hengegate Pathway;0
1;Karakas;0
1;Branchloft Pathway;0
1;Botanical Sanctum;0
1;Bayou;0
1;Thespian's Stage;0
1;Marsh Flats;0
1;Bloodstained Mire;0
1;Verdant Catacombs;0
1;Dark Depths;0
1;Plains;0
3;Island;0
1;Swamp;0
1;Forest;0
1;Portent;0
1;Fatal Push;0
1;Vampiric Tutor;0
1;Jack-o'-Lantern;0
1;Remand;0
1;Infernal Grasp;0
1;Oath of Druids;0
1;Vanishing Verse;0
1;Prismatic Lens;0
1;Mind Stone;0
1;Grim Monolith;0
1;Simic Signet;0
1;Force of Negation;0
1;Basalt Monolith;0
1;Wrath of God;0
1;Day of Judgment;0
1;Damnation;0
1;Mystic Confluence;0
1;Tolarian Academy;1
1;Baleful Strix;1
1;Flickerwisp;1
1;Lingering Souls;1
1;Thalia, Heretic Cathar;1
1;Adeline, Resplendent Cathar;1
1;Maul of the Skyclaves;1
1;Emry, Lurker of the Loch;1
1;Brazen Borrower;1
1;Woe Strider;1
1;Knight of Autumn;1
