Number_of_card;Card_name;Is_in_sideboard
1;Arbor Elf;0
1;Avacyn's Pilgrim;0
1;Ignoble Hierarch;0
1;Intrepid Adversary;0
1;Lotus Cobra;0
1;Sakura-Tribe Elder;0
1;Phyrexian Revoker;0
1;Ramunap Excavator;0
1;Basri's Lieutenant;0
1;Omnath, Locus of Creation;0
1;Dragonlord Atarka;0
1;Myr Battlesphere;0
1;Blightsteel Colossus;0
1;Barkchannel Pathway;0
1;Riverglide Pathway;0
1;Sacred Foundry;0
1;Inspiring Vantage;0
1;Temple Garden;0
1;Razorverge Thicket;0
1;Volcanic Island;0
1;Arid Mesa;0
1;Windswept Heath;0
1;Scalding Tarn;0
1;Plains;0
4;Forest;0
1;Oust;0
1;Abrade;0
1;Once Upon a Time;0
1;Eladamri's Call;0
1;Orzhov Signet;0
1;Boros Signet;0
1;Bala Ged Recovery;0
1;Elspeth, Knight-Errant;0
1;Gideon, Ally of Zendikar;0
1;Garruk Wildspeaker;0
1;Nahiri, the Harbinger;0
1;Through the Breach;0
1;Elspeth, Sun's Champion;0
1;Duress;1
1;Kytheon, Hero of Akros;1
1;Lurrus of the Dream-Den;1
1;Soulherder;1
1;Deceiver Exarch;1
1;Tinker;1
1;Natural Order;1
1;Grief;1
1;Restoration Angel;1
