Number_of_card;Card_name;Is_in_sideboard
1;Tithe Taker;0
1;Wall of Roots;0
1;Sylvan Caryatid;0
1;Goblin Rabblemaster;0
1;Dryad of the Ilysian Grove;0
1;General Ferrous Rokiric;0
1;Spell Queller;0
1;Toski, Bearer of Secrets;0
1;Glorybringer;0
1;Tovolar's Huntmaster;0
1;Island;0
1;Forest;0
1;Cragcrown Pathway;0
1;Seachrome Coast;0
1;Inspiring Vantage;0
1;Needle Spires;0
1;Savannah;0
1;Temple Garden;0
1;Underground Sea;0
1;Badlands;0
1;Spirebluff Canal;0
1;Thespian's Stage;0
1;Dark Depths;0
1;Ketria Triome;0
1;Raugrin Triome;0
1;Windswept Heath;0
1;Arid Mesa;0
1;Prismatic Ending;0
1;Crop Rotation;0
1;Expedition Map;0
1;Search for Azcanta;0
1;Rip Apart;0
1;Council's Judgment;0
1;Valakut Awakening;0
1;Bala Ged Recovery;0
1;Gideon, Ally of Zendikar;0
1;Nahiri, the Harbinger;0
1;Treachery;0
1;Elspeth, Sun's Champion;0
1;Commit // Memory;0
1;Tectonic Edge;1
1;Rishadan Port;1
1;Gaea's Cradle;1
1;Jack-o'-Lantern;1
1;Student of Warfare;1
1;Kitchen Finks;1
1;Soulherder;1
1;Karn Liberated;1
