Number_of_card;Card_name;Is_in_sideboard
1;Wooded Foothills;0
1;Walking Ballista;0
1;Birds of Paradise;0
1;Ignoble Hierarch;0
1;Elvish Mystic;0
1;Robber of the Rich;0
1;Voracious Hydra;0
1;Hydroid Krasis;0
1;Goblin Rabblemaster;0
1;Laelia, the Blade Reforged;0
1;Tireless Tracker;0
1;Bloodbraid Elf;0
1;Glorybringer;0
1;Fury;0
1;Chrome Mox;0
1;Savannah;0
1;Steam Vents;0
1;Overgrown Tomb;0
1;Blooming Marsh;0
1;Stomping Ground;0
1;Raugrin Triome;0
1;Windswept Heath;0
1;Scalding Tarn;0
1;Misty Rainforest;0
1;Bloodstained Mire;0
1;Wooded Foothills;0
1;Mountain;0
2;Forest;0
1;Swords to Plowshares;0
1;Demonic Tutor;0
1;Shatterskull Smashing;0
1;Lightning Helix;0
1;Rip Apart;0
1;Growth Spiral;0
1;Smuggler's Copter;0
1;Dismember;0
1;Kolaghan's Command;0
1;Daretti, Ingenious Iconoclast;0
1;Esika's Chariot;0
1;Ash Barrens;1
1;Forgotten Cave;1
1;Sakura-Tribe Elder;1
1;Smoldering Egg;1
1;Augur of Autumn;1
1;Karn, Scion of Urza;1
1;Toski, Bearer of Secrets;1
1;Deep Forest Hermit;1
1;Nicol Bolas, God-Pharaoh;1
1;Emeria's Call;1
