Number_of_card;Card_name;Is_in_sideboard
1;Noble Hierarch;0
1;Birds of Paradise;0
1;Sylvan Caryatid;0
1;Hydroid Krasis;0
1;Ornithopter of Paradise;0
1;Ramunap Excavator;0
1;Dryad of the Ilysian Grove;0
1;General Ferrous Rokiric;0
1;Omnath, Locus of Creation;0
1;Bloodbraid Elf;0
1;Golos, Tireless Pilgrim;0
1;Plains;0
1;Island;0
1;Swamp;0
1;Mountain;0
1;Forest;0
1;Savannah;0
1;Temple Garden;0
1;Darkslick Shores;0
1;Watery Grave;0
1;Steam Vents;0
1;Tropical Island;0
1;Taiga;0
1;Stomping Ground;0
1;Zagoth Triome;0
1;Windswept Heath;0
1;Wooded Foothills;0
1;Bloodstained Mire;0
1;Hard Evidence;0
1;Flame Slash;0
1;Green Sun's Zenith;0
1;Abundant Harvest;0
1;Eladamri's Call;0
1;Expressive Iteration;0
1;Growth Spiral;0
1;Wrenn and Six;0
1;Dack Fayden;0
1;Maelstrom Pulse;0
1;Coercive Portal;0
1;Nicol Bolas, Planeswalker;0
1;Ugin, the Spirit Dragon;0
1;Tranquil Thicket;1
1;Bomat Courier;1
1;Dragon's Rage Channeler;1
1;Falkenrath Gorger;1
1;Goblin Engineer;1
1;Flametongue Yearling;1
1;Earthshaker Khenra;1
1;Lingering Souls;1
1;Memory Jar;1
1;Ulamog, the Infinite Gyre;1
