Number_of_card;Card_name;Is_in_sideboard
1;Mother of Runes;0
1;Deathrite Shaman;0
1;Scavenging Ooze;0
1;Elite Spellbinder;0
1;Brutal Cathar;0
1;Skyclave Apparition;0
1;Ophiomancer;0
1;Archangel Avacyn;0
1;Solitude;0
1;Grave Titan;0
1;Mishra's Bauble;0
1;Brightclimb Pathway;0
1;Darkbore Pathway;0
1;Scrubland;0
1;Godless Shrine;0
1;Razorverge Thicket;0
1;Blooming Marsh;0
1;Indatha Triome;0
1;Wasteland;0
1;Verdant Catacombs;0
2;Swamp;0
3;Plains;0
3;Forest;0
1;Mana Tithe;0
1;Gitaxian Probe;0
1;Thoughtseize;0
1;Duress;0
1;Abundant Harvest;0
1;Bitterblossom;0
1;Assassin's Trophy;0
1;Maelstrom Pulse;0
1;Wrath of God;0
1;Snuff Out;0
1;Elspeth Conquers Death;0
1;Casualties of War;0
1;Arbor Elf;1
1;Green Sun's Zenith;1
1;Liquimetal Torque;1
1;Eladamri's Call;1
1;Survival of the Fittest;1
1;Rofellos, Llanowar Emissary;1
1;Abrade;1
1;Exhume;1
1;Ramunap Excavator;1
1;Search for Tomorrow;1
1;The Scarab God;1
1;Plow Under;1
1;Fury;1
1;Archon of Cruelty;1
1;Griselbrand;1
