Number_of_card;Card_name;Is_in_sideboard
1;Giver of Runes;0
1;Hangarback Walker;0
1;Vendilion Clique;0
1;Urza, Lord High Artificer;0
1;Glen Elendra Archmage;0
1;Myr Battlesphere;0
1;Cave of the Frost Dragon;0
1;Hengegate Pathway;0
1;Tolarian Academy;0
1;Hall of Storm Giants;0
1;Raffine's Tower;0
1;Raugrin Triome;0
1;Zagoth Triome;0
1;Flooded Strand;0
1;Arid Mesa;0
1;Windswept Heath;0
1;Fabled Passage;0
1;Urza's Saga;0
1;Maze of Ith;0
3;Island;0
1;Plains;0
1;Swift Reconfiguration;0
1;Consider;0
1;Counterspell;0
1;Golgari Signet;0
1;Azorius Signet;0
1;Prismatic Lens;0
1;Dimir Signet;0
1;Everflowing Chalice;0
1;Show and Tell;0
1;Teferi, Time Raveler;0
1;Fact or Fiction;0
1;Supreme Verdict;0
1;Karn, Scion of Urza;0
1;Mystic Confluence;0
1;Force of Will;0
1;Teferi, Hero of Dominaria;0
1;Approach of the Second Sun;0
1;Dig Through Time;0
1;Ash Barrens;1
1;Eater of Virtue;1
1;Thought Scour;1
1;Hard Evidence;1
1;Prismatic Ending;1
1;Ramunap Excavator;1
1;Murderous Cut;1
1;Time Spiral;1
1;Blightsteel Colossus;1
