Number_of_card;Card_name;Is_in_sideboard
1;Monastery Swiftspear;0
1;Dragon's Rage Channeler;0
1;Cryptbreaker;0
1;Gravecrawler;0
1;Bloodsoaked Champion;0
1;Scrapheap Scrounger;0
1;Wight;0
1;Flametongue Yearling;0
1;Dark Confidant;0
1;Robber of the Rich;0
1;Rotting Regisaur;0
1;Legion Warboss;0
1;Imperial Recruiter;0
1;Midnight Reaper;0
1;Hazoret the Fervent;0
1;Falkenrath Aristocrat;0
1;Glorybringer;0
1;Blood Crypt;0
7;Mountain;0
8;Swamp;0
1;Burst Lightning;0
1;Rift Bolt;0
1;Kolaghan's Command;0
1;Sulfuric Vortex;0
1;Painful Truths;0
1;Wheel of Fortune;0
1;Fiery Confluence;0
