Number_of_card;Card_name;Is_in_sideboard
1;Cryptbreaker;0
1;Noble Hierarch;0
1;Birds of Paradise;0
1;Gilded Goose;0
1;Dark Confidant;0
1;Wall of Roots;0
1;Sylvan Caryatid;0
1;Devoted Druid;0
1;Tireless Tracker;0
1;Leovold, Emissary of Trest;0
1;Toski, Bearer of Secrets;0
1;Oracle of Mul Daya;0
1;Hostage Taker;0
1;Deep Forest Hermit;0
1;Barkchannel Pathway;0
1;Breeding Pool;0
1;Overgrown Tomb;0
1;Bayou;0
1;Ketria Triome;0
2;Island;0
3;Swamp;0
6;Forest;0
1;Gitaxian Probe;0
1;Abundant Harvest;0
1;Pest Infestation;0
1;Green Sun's Zenith;0
1;Demonic Tutor;0
1;Sylvan Library;0
1;Grist, the Hunger Tide;0
1;Opposition;0
1;Harmonize;0
1;Nissa, Who Shakes the World;0
1;Copperline Gorge;1
1;Shambling Vent;1
1;Engineered Explosives;1
1;Deathrite Shaman;1
1;Reanimate;1
1;Usher of the Fallen;1
1;Hymn to Tourach;1
1;Daze;1
1;Wall of Omens;1
1;Lurrus of the Dream-Den;1
1;Seasoned Pyromancer;1
1;Vendilion Clique;1
1;Coercive Portal;1
1;Cryptic Command;1
1;Force of Will;1
1;Elspeth, Sun's Champion;1
