Number_of_card;Card_name;Is_in_sideboard
1;Mother of Runes;0
1;Knight of the Ebon Legion;0
1;Priest of Fell Rites;0
1;Sedgemoor Witch;0
1;Thalia, Heretic Cathar;0
1;Restoration Angel;0
1;Palace Jailer;0
1;Timeless Dragon;0
1;Sun Titan;0
1;Lotus Petal;0
1;Savannah;0
1;Windswept Heath;0
1;Indatha Triome;0
1;Zagoth Triome;0
1;Verdant Catacombs;0
1;Rishadan Port;0
1;Stirring Wildwood;0
5;Plains;0
6;Swamp;0
1;Swords to Plowshares;0
1;Bloodchief's Thirst;0
1;Smuggler's Copter;0
1;Damn;0
1;Demonic Tutor;0
1;Collective Brutality;0
1;Vindicate;0
1;Lingering Souls;0
1;Sword of Fire and Ice;0
1;Liliana, the Last Hope;0
1;Gideon of the Trials;0
1;Elspeth, Knight-Errant;0
1;Parallax Wave;0
