Number_of_card;Card_name;Is_in_sideboard
1;Usher of the Fallen;0
1;Dread Wanderer;0
1;Bloodsoaked Champion;0
1;Knight of the Ebon Legion;0
1;Dauthi Voidwalker;0
1;Intrepid Adversary;0
1;Skyclave Shade;0
1;Bloodghast;0
1;Oona's Prowler;0
1;Vryn Wingmare;0
1;Elite Spellbinder;0
1;Sedgemoor Witch;0
1;Rotting Regisaur;0
1;Palace Jailer;0
1;Cave of the Frost Dragon;0
1;Barren Moor;0
1;Godless Shrine;0
1;Shambling Vent;0
6;Swamp;0
5;Plains;0
1;Mana Tithe;0
1;Bloodchief's Thirst;0
1;Damn;0
1;Collective Brutality;0
1;Vanishing Verse;0
1;Maul of the Skyclaves;0
1;History of Benalia;0
1;Liliana, the Last Hope;0
1;Grafted Wargear;0
1;Gideon, Ally of Zendikar;0
1;Castle Ardenvale;0
1;Hallowed Fountain;1
1;Wandering Fumarole;1
1;Copperline Gorge;1
1;Duress;1
1;Monastery Swiftspear;1
1;Crop Rotation;1
1;Hymn to Tourach;1
1;Wall of Omens;1
1;Kari Zev, Skyship Raider;1
1;Robber of the Rich;1
1;Young Pyromancer;1
1;Embereth Shieldbreaker;1
1;Devoted Druid;1
1;Monastery Mentor;1
1;Xenagos, the Reveler;1
1;Kenrith, the Returned King;1
1;Elspeth Conquers Death;1
1;Gilded Lotus;1
