Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Dragon Hunter;0
1;Champion of the Parish;0
1;Usher of the Fallen;0
1;Luminarch Aspirant;0
1;Adeline, Resplendent Cathar;0
1;Flickerwisp;0
1;Blade Splicer;0
1;Hero of Bladehold;0
1;Shambling Vent;0
1;Evolving Wilds;0
7;Plains;0
6;Swamp;0
1;Swords to Plowshares;0
1;Legion's Landing;0
1;Inquisition of Kozilek;0
1;Bone Shards;0
1;Reanimate;0
1;Bonesplitter;0
1;Damn;0
1;Demonic Tutor;0
1;Lingering Souls;0
1;History of Benalia;0
1;Liliana, the Last Hope;0
1;Armageddon;0
1;Baleful Mastery;0
1;Karn, Scion of Urza;0
1;Emeria's Call;0
1;Castle Ardenvale;0
1;Celestial Colonnade;1
1;Stomping Ground;1
1;Gavony Township;1
1;Needleverge Pathway;1
1;Carrion Feeder;1
1;Dread Wanderer;1
1;Brainstorm;1
1;Priest of Fell Rites;1
1;Persist;1
1;Sea Gate Stormcaller;1
1;Worn Powerstone;1
1;Teferi, Time Raveler;1
1;Midnight Reaper;1
1;Lodestone Golem;1
1;Supreme Verdict;1
1;Gilded Lotus;1
1;Kenrith, the Returned King;1
1;Doomskar;1
1;Nicol Bolas, Planeswalker;1
1;Lightning Helix;1
