Number_of_card;Card_name;Is_in_sideboard
1;Kytheon, Hero of Akros;0
1;Mother of Runes;0
1;Vizier of Remedies;0
1;Charming Prince;0
1;Seasoned Hallowblade;0
1;Dire Fleet Daredevil;0
1;Adeline, Resplendent Cathar;0
1;Thalia, Heretic Cathar;0
1;Reckless Stormseeker;0
1;Solitude;0
1;Needleverge Pathway;0
1;Branchloft Pathway;0
1;Jetmir's Garden;0
1;Ketria Triome;0
1;Mutavault;0
3;Mountain;0
8;Plains;0
1;Legion's Landing;0
1;Seal of Fire;0
1;Balance;0
1;Lightning Strike;0
1;Shatterskull Smashing;0
1;Lightning Helix;0
1;Winter Orb;0
1;Wheel of Fortune;0
1;Sword of Fire and Ice;0
1;Armageddon;0
1;The Wandering Emperor;0
1;Fiery Confluence;0
1;Showdown of the Skalds;0
1;Arlinn, the Pack's Hope;0
1;Rishadan Port;1
1;Wooded Foothills;1
1;Marsh Flats;1
1;Blackcleave Cliffs;1
1;Gaea's Cradle;1
1;Putrid Imp;1
1;Hymn to Tourach;1
1;Thing in the Ice;1
1;Knight of Autumn;1
1;Soulherder;1
1;Emry, Lurker of the Loch;1
1;Heliod, Sun-Crowned;1
1;Bloodbraid Elf;1
1;Falkenrath Aristocrat;1
1;Daretti, Scrap Savant;1
