Number_of_card;Card_name;Is_in_sideboard
1;Deathrite Shaman;0
1;Pestermite;0
1;Deceiver Exarch;0
1;Emry, Lurker of the Loch;0
1;Metalworker;0
1;Urza, Lord High Artificer;0
1;Kiki-Jiki, Mirror Breaker;0
1;Torrential Gearhulk;0
1;Tolarian Academy;0
1;Watery Grave;0
1;Verdant Catacombs;0
1;Flooded Strand;0
1;Steam Vents;0
1;Ash Barrens;0
1;Maze of Ith;0
3;Mountain;0
3;Swamp;0
5;Island;0
1;Brainstorm;0
1;Inquisition of Kozilek;0
1;Sensei's Divining Top;0
1;Miscalculation;0
1;Demonic Tutor;0
1;Winter Orb;0
1;Grim Monolith;0
1;Boros Signet;0
1;Coalition Relic;0
1;Snuff Out;0
1;Splinter Twin;0
1;Gilded Lotus;0
1;Mindslaver;0
1;Dig Through Time;0
1;Thespian's Stage;1
1;Tranquil Thicket;1
1;Phyrexian Tower;1
1;Dragon's Rage Channeler;1
1;Bone Shards;1
1;Collective Brutality;1
1;Hymn to Tourach;1
1;Daze;1
1;Memory Lapse;1
1;Thief of Sanity;1
1;Liliana, the Last Hope;1
1;Hullbreacher;1
1;Flickerwisp;1
1;Karn, Scion of Urza;1
1;Daretti, Scrap Savant;1
1;Fact or Fiction;1
1;Riftwing Cloudskate;1
1;Ugin, the Spirit Dragon;1
