Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Thraben Inspector;0
1;Stoneforge Mystic;0
1;Wall of Omens;0
1;Phantasmal Image;0
1;Jace, Vryn's Prodigy;0
1;Restoration Angel;0
1;Glen Elendra Archmage;0
1;Golos, Tireless Pilgrim;0
1;Cave of the Frost Dragon;0
1;Karakas;0
1;Shelldock Isle;0
1;Tundra;0
1;Godless Shrine;0
1;Darkslick Shores;0
1;Volcanic Island;0
1;Wandering Fumarole;0
1;Spirebluff Canal;0
1;Scalding Tarn;0
1;Prismatic Vista;0
1;Island;0
1;Swamp;0
1;Mountain;0
2;Plains;0
1;Swords to Plowshares;0
1;Mana Tithe;0
1;Ponder;0
1;Counterspell;0
1;Lightning Strike;0
1;Narset, Parter of Veils;0
1;Teferi, Time Raveler;0
1;Ashiok, Nightmare Weaver;0
1;Kolaghan's Command;0
1;Daretti, Ingenious Iconoclast;0
1;Vindicate;0
1;Wrath of God;0
1;Coercive Portal;0
1;Teferi, Hero of Dominaria;0
1;Batterskull;0
1;Everflowing Chalice;1
1;Balance;1
1;Recruiter of the Guard;1
1;Toski, Bearer of Secrets;1
1;Fiery Confluence;1
1;Braids, Cabal Minion;1
1;Hero of Bladehold;1
1;Gideon, Ally of Zendikar;1
1;Inferno Titan;1
1;Nicol Bolas, Planeswalker;1
