Number_of_card;Card_name;Is_in_sideboard
1;Arid Mesa;0
1;Emry, Lurker of the Loch;0
1;Urza, Lord High Artificer;0
1;Wurmcoil Engine;0
1;Ulamog, the Infinite Gyre;0
1;Blightsteel Colossus;0
1;Urza's Bauble;0
1;Chrome Mox;0
1;Hengegate Pathway;0
1;Tundra;0
1;Scrubland;0
1;Fiery Islet;0
1;Raugrin Triome;0
1;Savai Triome;0
1;Marsh Flats;0
1;Arid Mesa;0
1;Scalding Tarn;0
1;Strip Mine;0
1;Urza's Saga;0
2;Plains;0
1;Island;0
1;Swamp;0
1;Mountain;0
1;Unholy Heat;0
1;Chromatic Sphere;0
1;Balance;0
1;Rip Apart;0
1;Selesnya Signet;0
1;Orzhov Signet;0
1;Grim Monolith;0
1;Lingering Souls;0
1;Council's Judgment;0
1;Show and Tell;0
1;Tinker;0
1;Toxic Deluge;0
1;Vindicate;0
1;Gideon, Ally of Zendikar;0
1;Sneak Attack;0
1;Coercive Portal;0
1;Overgrown Tomb;1
1;Lotus Petal;1
1;Malakir Rebirth;1
1;Goblin Bombardment;1
1;Selfless Spirit;1
1;Daretti, Scrap Savant;1
1;Yawgmoth, Thran Physician;1
1;Armageddon;1
1;Wrath of God;1
1;Luminous Broodmoth;1
