Number_of_card;Card_name;Is_in_sideboard
1;Priest of Fell Rites;0
1;Imperial Recruiter;0
1;Solemn Simulacrum;0
1;Elesh Norn, Grand Cenobite;0
1;Terastodon;0
1;Woodfall Primus;0
1;Myr Battlesphere;0
1;Scrubland;0
1;Watery Grave;0
1;Darkslick Shores;0
1;Spirebluff Canal;0
1;Indatha Triome;0
1;Ash Barrens;0
1;Fabled Passage;0
1;Polluted Delta;0
4;Mountain;0
3;Island;0
2;Swamp;0
1;Serum Visions;0
1;Entomb;0
1;Chart a Course;0
1;Unmarked Grave;0
1;Persist;0
1;Exhume;0
1;Rakdos Signet;0
1;Liquimetal Torque;0
1;Thirst for Knowledge;0
1;Necromancy;0
1;Prismari Command;0
1;Dack Fayden;0
1;Worn Powerstone;0
1;Sneak Attack;0
1;Mystic Confluence;0
1;Treasure Cruise;0
1;Tolarian Academy;1
1;Everflowing Chalice;1
1;Goblin Guide;1
1;Ephemerate;1
1;Earthshaker Khenra;1
1;Priest of Forgotten Gods;1
1;Memory Lapse;1
1;Unexpectedly Absent;1
1;Thalia's Lieutenant;1
1;Thalia, Guardian of Thraben;1
1;Metalworker;1
1;Adeline, Resplendent Cathar;1
1;Embercleave;1
1;Bedlam Reveler;1
