Number_of_card;Card_name;Is_in_sideboard
1;Snapcaster Mage;0
1;Thing in the Ice;0
1;Seasoned Pyromancer;0
1;Fury;0
1;Archon of Cruelty;0
1;Ashen Rider;0
1;Kozilek, Butcher of Truth;0
1;Mox Diamond;0
1;Riverglide Pathway;0
1;Blightstep Pathway;0
1;Needleverge Pathway;0
1;Seachrome Coast;0
1;Scrubland;0
1;Badlands;0
1;Savai Triome;0
1;Arid Mesa;0
5;Island;0
1;Mountain;0
1;Plains;0
1;Serum Visions;0
1;Gitaxian Probe;0
1;Ponder;0
1;Vampiric Tutor;0
1;Lightning Bolt;0
1;Lose Focus;0
1;Mana Leak;0
1;Lightning Helix;0
1;Rip Apart;0
1;Izzet Charm;0
1;Force of Negation;0
1;Vindicate;0
1;Prismari Command;0
1;Daretti, Ingenious Iconoclast;0
1;Memory Deluge;0
1;Sneak Attack;0
1;Nahiri, the Harbinger;0
1;Golgari Rot Farm;1
1;Simic Growth Chamber;1
1;Secluded Steppe;1
1;Thraben Inspector;1
1;Sea Gate Stormcaller;1
1;Recurring Nightmare;1
1;Emry, Lurker of the Loch;1
1;Brutal Cathar;1
1;Fires of Invention;1
1;Pia and Kiran Nalaar;1
1;Solitude;1
1;Timeless Dragon;1
1;Alrund's Epiphany;1
1;Siege-Gang Commander;1
