Number_of_card;Card_name;Is_in_sideboard
1;Fyndhorn Elves;0
1;Deathrite Shaman;0
1;Lotus Cobra;0
1;Devoted Druid;0
1;Tarmogoyf;0
1;Hullbreacher;0
1;Bonecrusher Giant;0
1;Eternal Witness;0
1;Leovold, Emissary of Trest;0
1;Pia and Kiran Nalaar;0
1;Savannah;0
1;Spirebluff Canal;0
1;Tropical Island;0
1;Blood Crypt;0
1;Raging Ravine;0
1;Stomping Ground;0
1;Field of the Dead;0
1;Windswept Heath;0
1;Scalding Tarn;0
1;Misty Rainforest;0
1;Verdant Catacombs;0
1;Wooded Foothills;0
1;Prismatic Vista;0
1;Plains;0
1;Forest;0
1;Island;0
1;Lightning Helix;0
1;Expressive Iteration;0
1;Izzet Signet;0
1;Timetwister;0
1;Teferi, Time Raveler;0
1;Grist, the Hunger Tide;0
1;Sword of Fire and Ice;0
1;Chandra, Torch of Defiance;0
1;Garruk Relentless;0
1;Arlinn, the Pack's Hope;0
1;Mystic Confluence;0
1;Escape to the Wilds;0
1;Shark Typhoon;0
1;Turntimber Symbiosis;0
1;Thespian's Stage;1
1;Forgotten Cave;1
1;Blightstep Pathway;1
1;Cave of the Frost Dragon;1
1;Pest Infestation;1
1;Soulherder;1
1;Reckless Stormseeker;1
1;Legion Warboss;1
1;Mulldrifter;1
1;Approach of the Second Sun;1
