Number_of_card;Card_name;Is_in_sideboard
1;Llanowar Elves;0
1;Elvish Mystic;0
1;Vampire Hexmage;0
1;Dauthi Voidwalker;0
1;Grim Flayer;0
1;Reclamation Sage;0
1;Dryad of the Ilysian Grove;0
1;Rankle, Master of Pranks;0
1;Oracle of Mul Daya;0
1;Magus of the Order;0
1;Thragtusk;0
1;Deranged Hermit;0
1;The Gitrog Monster;0
1;Archon of Cruelty;0
1;Engineered Explosives;0
1;Hive of the Eye Tyrant;0
1;Lair of the Hydra;0
1;Tranquil Thicket;0
1;Blooming Marsh;0
1;Field of Ruin;0
1;Fabled Passage;0
1;Dark Depths;0
3;Swamp;0
6;Forest;0
1;Abundant Harvest;0
1;Demonic Tutor;0
1;Once Upon a Time;0
1;Agadeem's Awakening;0
1;Toxic Deluge;0
1;Bala Ged Recovery;0
1;Worn Powerstone;0
1;Damnation;0
1;Thran Dynamo;0
1;Urza's Bauble;1
1;Inquisition of Kozilek;1
1;Dark Ritual;1
1;Chromatic Star;1
1;Falkenrath Gorger;1
1;Growth Spiral;1
1;Mind Stone;1
1;Rift Bolt;1
1;Maul of the Skyclaves;1
1;Birthing Pod;1
1;Fiery Confluence;1
1;Nicol Bolas, God-Pharaoh;1
1;Craterhoof Behemoth;1
1;Terastodon;1
1;Ancient Stone Idol;1
1;Ulamog, the Infinite Gyre;1
1;Hullbreaker Horror;1
