Number_of_card;Card_name;Is_in_sideboard
1;Grim Lavamancer;0
1;Ragavan, Nimble Pilferer;0
1;Falkenrath Pit Fighter;0
1;Goblin Cratermaker;0
1;Ophiomancer;0
1;Yawgmoth, Thran Physician;0
1;Rankle, Master of Pranks;0
1;Braids, Cabal Minion;0
1;Glorybringer;0
1;Emrakul, the Aeons Torn;0
1;Lavaclaw Reaches;0
1;Blood Crypt;0
1;Ash Barrens;0
1;Ancient Tomb;0
6;Mountain;0
5;Swamp;0
1;Burst Lightning;0
1;Light Up the Night;0
1;Faithless Looting;0
1;Infernal Grasp;0
1;Abrade;0
1;Shatterskull Smashing;0
1;Lightning Strike;0
1;Dismember;0
1;Liliana of the Veil;0
1;Chandra, Acolyte of Flame;0
1;Wheel of Fortune;0
1;Damnation;0
1;Chandra, Torch of Defiance;0
1;Through the Breach;0
1;Fireblast;0
1;Mishra's Factory;1
1;Everflowing Chalice;1
1;Lotus Petal;1
1;Winter Orb;1
1;Liquimetal Torque;1
1;Dreadhorde Arcanist;1
1;Unexpectedly Absent;1
1;Mimic Vat;1
1;Sulfuric Vortex;1
1;Goblin Rabblemaster;1
1;Smokestack;1
1;Falkenrath Aristocrat;1
1;Hazoret the Fervent;1
1;Escape to the Wilds;1
1;Carnage Tyrant;1
1;Ulamog, the Ceaseless Hunger;1
1;Sundering Titan;1
1;Karn Liberated;1
