Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Elvish Reclaimer;0
1;Sakura-Tribe Elder;0
1;Deceiver Exarch;0
1;Reclamation Sage;0
1;Knight of Autumn;0
1;Hullbreaker Horror;0
1;Lotus Petal;0
1;Hengegate Pathway;0
1;Celestial Colonnade;0
1;Savannah;0
1;Temple Garden;0
1;Raugrin Triome;0
3;Plains;0
4;Forest;0
4;Island;0
1;Mana Tithe;0
1;Portable Hole;0
1;Hard Evidence;0
1;Unexpectedly Absent;0
1;Daze;0
1;Eladamri's Call;0
1;Growth Spiral;0
1;Lingering Souls;0
1;Council's Judgment;0
1;Show and Tell;0
1;Thirst for Discovery;0
1;Narset, Parter of Veils;0
1;Memory Deluge;0
1;Shark Typhoon;0
1;Emeria's Call;0
1;Treasure Cruise;0
1;Ash Barrens;1
1;Chromatic Sphere;1
1;Malakir Rebirth;1
1;Azorius Signet;1
1;Mayhem Devil;1
1;Uro, Titan of Nature's Wrath;1
1;Chord of Calling;1
1;Spike Feeder;1
1;Light Up the Stage;1
1;Thirst for Knowledge;1
1;Elite Spellbinder;1
1;Porcelain Legionnaire;1
1;Pia and Kiran Nalaar;1
1;The Gitrog Monster;1
1;Sundering Titan;1
1;Approach of the Second Sun;1
