Number_of_card;Card_name;Is_in_sideboard
1;Champion of the Parish;0
1;Esper Sentinel;0
1;Dauntless Bodyguard;0
1;Usher of the Fallen;0
1;Dragon's Rage Channeler;0
1;Soul-Scar Mage;0
1;Sungold Sentinel;0
1;Thalia, Guardian of Thraben;0
1;Anafenza, Kin-Tree Spirit;0
1;Seasoned Hallowblade;0
1;Charming Prince;0
1;Kari Zev, Skyship Raider;0
1;Monastery Mentor;0
1;Elite Spellbinder;0
1;Solitude;0
1;Karmic Guide;0
1;Cave of the Frost Dragon;0
1;Den of the Bugbear;0
1;Plateau;0
6;Mountain;0
6;Plains;0
1;Path to Exile;0
1;Mana Tithe;0
1;Faithless Looting;0
1;Unexpectedly Absent;0
1;Searing Spear;0
1;Shatterskull Smashing;0
1;Lightning Greaves;0
1;Light Up the Stage;0
1;Showdown of the Skalds;0
1;Flooded Strand;1
1;Spirebluff Canal;1
1;Tundra;1
1;Occult Epiphany;1
1;Serum Visions;1
1;Izzet Charm;1
1;Daze;1
1;Worn Powerstone;1
1;Daretti, Ingenious Iconoclast;1
1;Dack Fayden;1
1;Agadeem's Awakening;1
1;Thirst for Discovery;1
1;Thirst for Knowledge;1
1;Supreme Verdict;1
1;Toski, Bearer of Secrets;1
1;Memory Deluge;1
1;Time Warp;1
