Number_of_card;Card_name;Is_in_sideboard
1;Monastery Swiftspear;0
1;Falkenrath Pit Fighter;0
1;Zurgo Bellstriker;0
1;Luminarch Aspirant;0
1;Seasoned Hallowblade;0
1;Selfless Spirit;0
1;Thalia's Lieutenant;0
1;Kari Zev, Skyship Raider;0
1;Bloodthirsty Adversary;0
1;Embereth Shieldbreaker;0
1;Adeline, Resplendent Cathar;0
1;Skyclave Apparition;0
1;Monastery Mentor;0
1;Hanweir Garrison;0
1;Basri's Lieutenant;0
1;Karakas;0
1;Cave of the Frost Dragon;0
1;Inspiring Vantage;0
1;Arid Mesa;0
6;Mountain;0
5;Plains;0
1;Mana Tithe;0
1;Portable Hole;0
1;Spikefield Hazard;0
1;Eater of Virtue;0
1;Abrade;0
1;Lightning Helix;0
1;Maul of the Skyclaves;0
1;Wheel of Fortune;0
1;Elspeth, Knight-Errant;0
1;Showdown of the Skalds;0
1;Thespian's Stage;1
1;Temple Garden;1
1;Pyrite Spellbomb;1
1;Dimir Signet;1
1;Boros Signet;1
1;Rip Apart;1
1;Oath of Druids;1
1;Persist;1
1;Crucible of Worlds;1
1;Vindicate;1
1;Necromancy;1
1;Force of Negation;1
1;Heliod, Sun-Crowned;1
1;Nahiri, the Harbinger;1
1;Murderous Redcap;1
1;Wrath of God;1
1;Memory Jar;1
1;Ancient Stone Idol;1
