Number_of_card;Card_name;Is_in_sideboard
1;Stonecoil Serpent;0
1;Dauntless Bodyguard;0
1;Rabbit Battery;0
1;Figure of Destiny;0
1;Bomat Courier;0
1;Cathar Commando;0
1;Luminarch Aspirant;0
1;Porcelain Legionnaire;0
1;Monastery Mentor;0
1;Najeela, the Blade-Blossom;0
1;Hero of Bladehold;0
1;Luminous Broodmoth;0
1;Karmic Guide;0
1;Ancient Stone Idol;0
1;Plateau;0
1;Sacred Foundry;0
7;Plains;0
7;Mountain;0
1;Ephemerate;0
1;Faithless Looting;0
1;Lightning Bolt;0
1;Tarfire;0
1;Lingering Souls;0
1;Council's Judgment;0
1;Day of Judgment;0
1;Nahiri, the Harbinger;0
1;Fireblast;0
1;Thespian's Stage;1
1;Taiga;1
1;Tropical Island;1
1;Traverse the Ulvenwald;1
1;Goblin Welder;1
1;Carrion Feeder;1
1;Boros Signet;1
1;Lesser Masticore;1
1;Earthshaker Khenra;1
1;Bitterblossom;1
1;Bloodghast;1
1;Blade of the Oni;1
1;Good-Fortune Unicorn;1
1;Bonecrusher Giant;1
1;Rotting Regisaur;1
1;Hullbreacher;1
1;Questing Beast;1
1;Ravenous Chupacabra;1
