Number_of_card;Card_name;Is_in_sideboard
1;Phantasmal Image;0
1;Priest of Fell Rites;0
1;Deceiver Exarch;0
1;Seasoned Pyromancer;0
1;Zealous Conscripts;0
1;Kiki-Jiki, Mirror Breaker;0
1;Inferno Titan;0
1;Wurmcoil Engine;0
1;Dragonlord Atarka;0
1;Blightsteel Colossus;0
1;Clearwater Pathway;0
1;Riverglide Pathway;0
1;Volcanic Island;0
1;Wasteland;0
1;Strip Mine;0
1;Flooded Strand;0
1;Arid Mesa;0
1;Polluted Delta;0
1;Bloodstained Mire;0
1;Plains;0
2;Island;0
3;Swamp;0
2;Mountain;0
1;Gitaxian Probe;0
1;Entomb;0
1;Imperial Seal;0
1;Izzet Charm;0
1;Boros Signet;0
1;Rakdos Signet;0
1;Narset, Parter of Veils;0
1;Recurring Nightmare;0
1;Dack Fayden;0
1;Crucible of Worlds;0
1;Splinter Twin;0
1;Sneak Attack;0
1;Through the Breach;0
1;Everflowing Chalice;1
1;Tectonic Edge;1
1;Tarfire;1
1;Carrion Feeder;1
1;Monastery Swiftspear;1
1;Lightning Greaves;1
1;Eladamri's Call;1
1;Memory Lapse;1
1;Vizier of Remedies;1
1;Young Pyromancer;1
1;Bloodthirsty Adversary;1
1;Spike Feeder;1
1;Jace, Wielder of Mysteries;1
1;Opposition;1
1;Upheaval;1
1;Karn Liberated;1
