Number_of_card;Card_name;Is_in_sideboard
1;Polluted Delta;0
1;Bloodsoaked Champion;0
1;Jace, Vryn's Prodigy;0
1;Jadar, Ghoulcaller of Nephalia;0
1;Vampire Hexmage;0
1;Baleful Strix;0
1;Spellseeker;0
1;Sedgemoor Witch;0
1;Venser, Shaper Savant;0
1;Fury;0
1;Grave Titan;0
1;Wurmcoil Engine;0
1;Triplicate Titan;0
1;Shelldock Isle;0
1;Hive of the Eye Tyrant;0
1;Polluted Delta;0
7;Swamp;0
6;Island;0
1;Opt;0
1;Reanimate;0
1;Thoughtseize;0
1;Unearth;0
1;Memory Lapse;0
1;Miscalculation;0
1;Demonic Tutor;0
1;Animate Dead;0
1;Unmarked Grave;0
1;Thirst for Knowledge;0
1;Necromancy;0
1;Phyrexian Tower;1
1;Savai Triome;1
1;Stomping Ground;1
1;Waterlogged Grove;1
1;Scrubland;1
1;Godless Shrine;1
1;Dark Ritual;1
1;Oust;1
1;Smuggler's Copter;1
1;Blood Artist;1
1;Stoneforge Mystic;1
1;Eternal Witness;1
1;Polukranos, World Eater;1
1;The Gitrog Monster;1
1;Titania, Protector of Argoth;1
1;Archangel of Thune;1
1;Ulamog, the Infinite Gyre;1
1;Nexus of Fate;1
