Number_of_card;Card_name;Is_in_sideboard
1;Mother of Runes;0
1;Student of Warfare;0
1;Selfless Spirit;0
1;Charming Prince;0
1;Ornithopter of Paradise;0
1;Scrapheap Scrounger;0
1;Adeline, Resplendent Cathar;0
1;Skyclave Apparition;0
1;Brutal Cathar;0
1;Solitude;0
1;Cavalier of Gales;0
1;The Scarab God;0
1;Sun Titan;0
1;Consecrated Sphinx;0
1;Swamp;0
1;Lonely Sandbar;0
1;Secluded Steppe;0
1;Watery Grave;0
1;Darkslick Shores;0
1;Creeping Tar Pit;0
1;Celestial Colonnade;0
1;Tundra;0
1;Seachrome Coast;0
1;Hallowed Fountain;0
5;Plains;0
1;Unexpectedly Absent;0
1;Memory Lapse;0
1;Mana Leak;0
1;Umezawa's Jitte;0
1;Azorius Signet;0
1;History of Benalia;0
1;Parallax Wave;0
1;Armageddon;0
1;Karn, Scion of Urza;0
1;Batterskull;0
1;Emeria's Call;0
1;Dryad Arbor;1
1;Razorverge Thicket;1
1;Plateau;1
1;Bomat Courier;1
1;Goblin Guide;1
1;Gutterbones;1
1;Champion of the Parish;1
1;Rip Apart;1
1;Lotus Cobra;1
1;Devoted Druid;1
1;Balance;1
1;Soulherder;1
1;Nahiri, the Harbinger;1
1;Ajani Vengeant;1
1;Doomskar;1
1;Ugin, the Spirit Dragon;1
