Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Skyclave Apparition;0
1;Hullbreacher;0
1;Glen Elendra Archmage;0
1;Hostage Taker;0
1;Brightclimb Pathway;0
1;Hallowed Fountain;0
1;Scrubland;0
1;Breeding Pool;0
1;Savai Triome;0
1;Polluted Delta;0
1;Misty Rainforest;0
1;Bloodstained Mire;0
3;Plains;0
5;Island;0
1;Swords to Plowshares;0
1;Prismatic Ending;0
1;Spell Pierce;0
1;Ponder;0
1;Bloodchief's Thirst;0
1;Balance;0
1;Counterspell;0
1;Azorius Signet;0
1;Dimir Signet;0
1;Council's Judgment;0
1;Timetwister;0
1;Frantic Search;0
1;Narset, Parter of Veils;0
1;Vindicate;0
1;Ashiok, Nightmare Weaver;0
1;Force of Will;0
1;Murderous Cut;0
1;Teferi, Hero of Dominaria;0
1;Time Spiral;0
1;Maze of Ith;1
1;Ash Barrens;1
1;Field of Ruin;1
1;Lair of the Hydra;1
1;Gravecrawler;1
1;Knight of the Ebon Legion;1
1;Altar of Dementia;1
1;Scrapheap Scrounger;1
1;Hydroid Krasis;1
1;Priest of Fell Rites;1
1;Eternal Witness;1
1;Dig Through Time;1
1;Hullbreaker Horror;1
