Number_of_card;Card_name;Is_in_sideboard
1;Tithe Taker;0
1;Snapcaster Mage;0
1;Skyclave Apparition;0
1;Lurrus of the Dream-Den;0
1;Thief of Sanity;0
1;Kitchen Finks;0
1;Solitude;0
1;Iona, Shield of Emeria;0
1;Terastodon;0
1;Myr Battlesphere;0
1;Watery Grave;0
1;Darkslick Shores;0
1;Tundra;0
1;Celestial Colonnade;0
1;Shambling Vent;0
1;Temple of Silence;0
1;Concealed Courtyard;0
1;Raugrin Triome;0
1;Maze of Ith;0
1;Marsh Flats;0
2;Plains;0
1;Island;0
4;Swamp;0
1;Swords to Plowshares;0
1;Ponder;0
1;Entomb;0
1;Dark Ritual;0
1;Reanimate;0
1;Unmarked Grave;0
1;Animate Dead;0
1;Exhume;0
1;Necromancy;0
1;Recurring Nightmare;0
1;Vindicate;0
1;Faith's Fetters;0
1;Looter il-Kor;0
1;Temple of Malady;1
1;Plateau;1
1;Mana Tithe;1
1;Pest Infestation;1
1;Negate;1
1;Manamorphose;1
1;Selesnya Signet;1
1;Golgari Signet;1
1;Elite Spellbinder;1
1;Maelstrom Pulse;1
1;Dack Fayden;1
1;Grist, the Hunger Tide;1
1;Supreme Verdict;1
1;Deep Forest Hermit;1
1;The Scarab God;1
