Number_of_card;Card_name;Is_in_sideboard
1;Charming Prince;0
1;Flickerwisp;0
1;Brazen Borrower;0
1;Glen Elendra Archmage;0
1;Solitude;0
1;Ethereal Forager;0
1;Hive of the Eye Tyrant;0
1;Hallowed Fountain;0
1;Creeping Tar Pit;0
1;Indatha Triome;0
1;Marsh Flats;0
1;Flooded Strand;0
1;Misty Rainforest;0
1;Fabled Passage;0
5;Island;0
4;Plains;0
1;Sleight of Hand;0
1;Brainstorm;0
1;Portent;0
1;Preordain;0
1;Bone Shards;0
1;Chromatic Star;0
1;Sensei's Divining Top;0
1;Counterspell;0
1;Miscalculation;0
1;Impulse;0
1;Orzhov Signet;0
1;Mind Stone;0
1;Coalition Relic;0
1;Gideon, Ally of Zendikar;0
1;Jace, the Mind Sculptor;0
1;Supreme Verdict;0
1;Murderous Cut;0
1;Urza's Bauble;1
1;Seal of Fire;1
1;Spikefield Hazard;1
1;Entomb;1
1;Gravecrawler;1
1;Selesnya Signet;1
1;Gruul Signet;1
1;Altar of Dementia;1
1;Lightning Helix;1
1;Prismari Command;1
1;Lutri, the Spellchaser;1
1;Ulamog, the Ceaseless Hunger;1
