Number_of_card;Card_name;Is_in_sideboard
1;Arbor Elf;0
1;Fyndhorn Elves;0
1;Cabal Initiate;0
1;Fauna Shaman;0
1;Wall of Roots;0
1;Tireless Tracker;0
1;Augur of Autumn;0
1;Questing Beast;0
1;Magus of the Order;0
1;Thragtusk;0
1;Tasigur, the Golden Fang;0
1;Hornet Queen;0
1;Woodfall Primus;0
1;Dragonlord Atarka;0
1;Blooming Marsh;0
1;Overgrown Tomb;0
1;Raging Ravine;0
7;Swamp;0
7;Forest;0
1;Reanimate;0
1;Thoughtseize;0
1;Persist;0
1;Unmarked Grave;0
1;Demonic Tutor;0
1;Dimir Signet;0
1;Life // Death;0
1;Baleful Mastery;0
1;Primal Command;0
1;Krosan Verge;1
1;Creeping Tar Pit;1
1;Barkchannel Pathway;1
1;Lonely Sandbar;1
1;Clearwater Pathway;1
1;Gravecrawler;1
1;Cryptbreaker;1
1;Brainstorm;1
1;Lore Seeker;1
1;Priest of Forgotten Gods;1
1;Jadar, Ghoulcaller of Nephalia;1
1;Remand;1
1;Heirloom Blade;1
1;Thief of Sanity;1
1;Thirst for Knowledge;1
1;Vendilion Clique;1
1;Venser, Shaper Savant;1
1;Parallax Wave;1
1;Reveillark;1
1;Shark Typhoon;1
1;Treasure Cruise;1
