Number_of_card;Card_name;Is_in_sideboard
1;Carrion Feeder;0
1;Ignoble Hierarch;0
1;Birds of Paradise;0
1;Elvish Mystic;0
1;Blood Artist;0
1;Putrid Goblin;0
1;Melira, Sylvok Outcast;0
1;Fauna Shaman;0
1;Lesser Masticore;0
1;Woe Strider;0
1;Good-Fortune Unicorn;0
1;Kitchen Finks;0
1;Grief;0
1;Deranged Hermit;0
1;Darkbore Pathway;0
1;Gaea's Cradle;0
1;Zagoth Triome;0
1;Strip Mine;0
1;Ash Barrens;0
1;Windswept Heath;0
1;Verdant Catacombs;0
1;Marsh Flats;0
1;Prismatic Vista;0
3;Forest;0
2;Swamp;0
1;Plains;0
1;Mind Twist;0
1;Skullclamp;0
1;Bitterblossom;0
1;Sylvan Library;0
1;Umezawa's Jitte;0
1;Chord of Calling;0
1;Grist, the Hunger Tide;0
1;Blasting Station;0
1;Birthing Pod;0
1;Garruk Wildspeaker;0
1;Garruk Relentless;0
1;Scalding Tarn;1
1;Tropical Island;1
1;Cryptbreaker;1
1;Reanimate;1
1;Remand;1
1;Luminarch Aspirant;1
1;Heirloom Blade;1
1;Sedgemoor Witch;1
1;Reclamation Sage;1
1;Courser of Kruphix;1
1;Goblin Rabblemaster;1
1;Rotting Regisaur;1
1;Magus of the Order;1
1;Arlinn, the Pack's Hope;1
1;Embercleave;1
