Number_of_card;Card_name;Is_in_sideboard
1;Misty Rainforest;0
1;Birds of Paradise;0
1;Arbor Elf;0
1;Noble Hierarch;0
1;Charming Prince;0
1;Scavenging Ooze;0
1;Tarmogoyf;0
1;Hydroid Krasis;0
1;Tireless Tracker;0
1;Reclamation Sage;0
1;Kitchen Finks;0
1;Knight of Autumn;0
1;Questing Beast;0
1;Solemn Simulacrum;0
1;Thragtusk;0
1;Carnage Tyrant;0
1;Branchloft Pathway;0
1;Savannah;0
1;Windswept Heath;0
1;Misty Rainforest;0
2;Island;0
7;Forest;0
3;Plains;0
1;Traverse the Ulvenwald;0
1;Worldly Tutor;0
1;Unexpectedly Absent;0
1;Survival of the Fittest;0
1;Once Upon a Time;0
1;Eladamri's Call;0
1;Bala Ged Recovery;0
1;Elspeth, Sun's Champion;0
1;Mutavault;1
1;Celestial Colonnade;1
1;Hengegate Pathway;1
1;Crop Rotation;1
1;Fastbond;1
1;Gitaxian Probe;1
1;Prismatic Ending;1
1;Oust;1
1;Skyclave Shade;1
1;Balance;1
1;Imperial Recruiter;1
1;Sneak Attack;1
1;Day of Judgment;1
1;Tovolar's Huntmaster;1
1;Inferno Titan;1
1;Sundering Titan;1
1;Myr Battlesphere;1
1;Elesh Norn, Grand Cenobite;1
