Number_of_card;Card_name;Is_in_sideboard
1;Orcish Lumberjack;0
1;Birds of Paradise;0
1;Gilded Goose;0
1;Elves of Deep Shadow;0
1;Charming Prince;0
1;Luminarch Aspirant;0
1;Ramunap Excavator;0
1;Dryad of the Ilysian Grove;0
1;Soulherder;0
1;Knight of the Reliquary;0
1;Knight of Autumn;0
1;Restoration Angel;0
1;Palace Jailer;0
1;Questing Beast;0
1;Solitude;0
1;Titania, Protector of Argoth;0
1;Mox Diamond;0
1;Gaea's Cradle;0
1;Plateau;0
1;Waterlogged Grove;0
1;Nurturing Peatland;0
1;Taiga;0
1;Raging Ravine;0
1;Jetmir's Garden;0
1;Ziatora's Proving Ground;0
1;Verdant Catacombs;0
1;Crystal Vein;0
1;Wasteland;0
2;Plains;0
3;Forest;0
1;Swift Reconfiguration;0
1;Pest Infestation;0
1;Lightning Strike;0
1;Edge of Autumn;0
1;Parallax Wave;0
1;The Wandering Emperor;0
1;Esika's Chariot;0
1;Blightstep Pathway;1
1;Assassin's Trophy;1
1;Grim Flayer;1
1;Growth Spiral;1
1;Vanishing Verse;1
1;Lightning Greaves;1
1;Melira, Sylvok Outcast;1
1;Najeela, the Blade-Blossom;1
1;Pia and Kiran Nalaar;1
1;Fact or Fiction;1
