Number_of_card;Card_name;Is_in_sideboard
1;Elvish Reclaimer;0
1;Joraga Treespeaker;0
1;Birds of Paradise;0
1;Arbor Elf;0
1;Rofellos, Llanowar Emissary;0
1;Laelia, the Blade Reforged;0
1;Thragtusk;0
1;Craterhoof Behemoth;0
1;Ulamog, the Ceaseless Hunger;0
1;Plains;0
1;Polluted Delta;0
1;Bloodstained Mire;0
1;Sacred Foundry;0
1;Wasteland;0
2;Swamp;0
10;Forest;0
1;Fastbond;0
1;Grim Monolith;0
1;Boros Signet;0
1;Valakut Awakening;0
1;Search for Tomorrow;0
1;Crucible of Worlds;0
1;Snuff Out;0
1;Garruk Wildspeaker;0
1;Nissa, Who Shakes the World;0
1;Memory Jar;0
1;Karn Liberated;0
1;Ugin, the Spirit Dragon;0
1;Assassin's Trophy;0
1;Sedgemoor Witch;0
1;Raging Ravine;1
1;Copperline Gorge;1
1;Cragcrown Pathway;1
1;Seachrome Coast;1
1;Hallowed Fountain;1
1;Gavony Township;1
1;Flame Slash;1
1;Crop Rotation;1
1;Dragon Hunter;1
1;Gruul Signet;1
1;Liquimetal Torque;1
1;Narset, Parter of Veils;1
1;Liliana, the Last Hope;1
1;Seasoned Pyromancer;1
1;Knight of the Reliquary;1
1;Knight of Autumn;1
1;Hero of Bladehold;1
1;Cogwork Librarian;1
1;Expansion // Explosion;1
1;Emeria's Call;1
1;Kozilek, Butcher of Truth;1
