Number_of_card;Card_name;Is_in_sideboard
1;Elvish Reclaimer;0
1;Llanowar Elves;0
1;Ignoble Hierarch;0
1;Avacyn's Pilgrim;0
1;Elvish Mystic;0
1;Outland Liberator;0
1;Rofellos, Llanowar Emissary;0
1;Thalia, Heretic Cathar;0
1;Nissa, Vastwood Seer;0
1;Titania, Protector of Argoth;0
1;Grave Titan;0
1;Primeval Titan;0
1;Elesh Norn, Grand Cenobite;0
1;Craterhoof Behemoth;0
1;Brightclimb Pathway;0
1;Branchloft Pathway;0
3;Plains;0
2;Swamp;0
10;Forest;0
1;Bone Shards;0
1;Once Upon a Time;0
1;Finale of Devastation;0
1;Assassin's Trophy;0
1;Bala Ged Recovery;0
1;Search for Tomorrow;0
1;Natural Order;0
1;Harmonize;0
1;Esika's Chariot;0
1;Garruk Wildspeaker;0
1;Mutavault;1
1;Botanical Sanctum;1
1;Inspiring Vantage;1
1;Castle Embereth;1
1;Fastbond;1
1;Village Rites;1
1;Mystical Tutor;1
1;Dromoka's Command;1
1;Priest of Fell Rites;1
1;Life from the Loam;1
1;Jace, Vryn's Prodigy;1
1;Leovold, Emissary of Trest;1
1;Shardless Agent;1
1;Hullbreacher;1
1;Council's Judgment;1
1;Cogwork Librarian;1
1;Daretti, Scrap Savant;1
1;Restoration Angel;1
1;Casualties of War;1
1;Dig Through Time;1
