Number_of_card;Card_name;Is_in_sideboard
1;Bloodghast;0
1;Rotting Regisaur;0
1;Murderous Rider;0
1;Ophiomancer;0
1;Rankle, Master of Pranks;0
1;The Gitrog Monster;0
1;Griselbrand;0
1;Archon of Cruelty;0
1;Mox Diamond;0
1;Indatha Triome;0
1;Urza's Saga;0
1;Phyrexian Tower;0
1;Polluted Delta;0
1;Prismatic Vista;0
3;Forest;0
9;Swamp;0
1;Thoughtseize;0
1;Imperial Seal;0
1;Entomb;0
1;Skullclamp;0
1;Retrofitter Foundry;0
1;Mind Twist;0
1;Collective Brutality;0
1;Unmarked Grave;0
1;Animate Dead;0
1;Life from the Loam;0
1;Toxic Deluge;0
1;Liliana of the Veil;0
1;Necromancy;0
1;Grist, the Hunger Tide;0
1;Badlands;1
1;Creeping Tar Pit;1
1;Everflowing Chalice;1
1;Pest Infestation;1
1;Fyndhorn Elves;1
1;Noble Hierarch;1
1;Crop Rotation;1
1;Bitterblossom;1
1;Sylvan Library;1
1;Finale of Devastation;1
1;Leovold, Emissary of Trest;1
1;Knight of the Reliquary;1
1;Courser of Kruphix;1
1;Heliod, Sun-Crowned;1
1;Falkenrath Aristocrat;1
1;Nissa, Who Shakes the World;1
