Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Ragavan, Nimble Pilferer;0
1;Phantasmal Image;0
1;Baleful Strix;0
1;Seasoned Pyromancer;0
1;Laelia, the Blade Reforged;0
1;Fable of the Mirror-Breaker;0
1;Venser, Shaper Savant;0
1;The Scarab God;0
1;Archon of Cruelty;0
1;Triplicate Titan;0
1;Hall of Storm Giants;0
1;Clearwater Pathway;0
1;Riverglide Pathway;0
1;Watery Grave;0
1;Underground Sea;0
1;Blackcleave Cliffs;0
1;Fabled Passage;0
1;Island;0
3;Swamp;0
6;Mountain;0
1;Bone Shards;0
1;Fatal Push;0
1;Reanimate;0
1;Unholy Heat;0
1;Animate Dead;0
1;Unmarked Grave;0
1;Expressive Iteration;0
1;Liliana of the Veil;0
1;Recurring Nightmare;0
1;Dack Fayden;0
1;Chandra, Torch of Defiance;0
1;Time Warp;0
1;Spell Pierce;1
1;Lightning Greaves;1
1;Winter Orb;1
1;Thing in the Ice;1
1;Memory Lapse;1
1;Maelstrom Pulse;1
1;Leovold, Emissary of Trest;1
1;Lutri, the Spellchaser;1
1;Ashiok, Nightmare Weaver;1
1;Light Up the Stage;1
1;Midnight Reaper;1
1;Sedgemoor Witch;1
1;Rotting Regisaur;1
1;Narset, Parter of Veils;1
1;Memory Deluge;1
1;Fact or Fiction;1
1;Emeria's Call;1
