Number_of_card;Card_name;Is_in_sideboard
1;Carrion Feeder;0
1;Elvish Mystic;0
1;Gilded Goose;0
1;Tarmogoyf;0
1;Devoted Druid;0
1;Melira, Sylvok Outcast;0
1;Voracious Hydra;0
1;Reckless Stormseeker;0
1;Briarbridge Tracker;0
1;Tireless Tracker;0
1;Augur of Autumn;0
1;Kitchen Finks;0
1;Murderous Redcap;0
1;Thragtusk;0
1;Deranged Hermit;0
1;Tovolar's Huntmaster;0
1;Triplicate Titan;0
1;Lotus Petal;0
1;Cragcrown Pathway;0
1;Tranquil Thicket;0
1;Stomping Ground;0
2;Swamp;0
3;Mountain;0
7;Forest;0
1;Gitaxian Probe;0
1;Spikefield Hazard;0
1;Fable of the Mirror-Breaker;0
1;Chord of Calling;0
1;Sneak Attack;0
1;Birthing Pod;0
1;Arlinn, the Pack's Hope;0
1;Needleverge Pathway;1
1;Carrion Feeder;1
1;Legion's Landing;1
1;Student of Warfare;1
1;Dire Fleet Daredevil;1
1;Oona's Prowler;1
1;Goblin Engineer;1
1;Spike Feeder;1
1;Legion Warboss;1
1;Recurring Nightmare;1
1;Pestermite;1
1;Hedron Archive;1
1;Hazoret the Fervent;1
1;Hellrider;1
1;Parallax Wave;1
1;Hero of Bladehold;1
1;Grave Titan;1
1;Terastodon;1
