Number_of_card;Card_name;Is_in_sideboard
1;Dragon's Rage Channeler;0
1;Goblin Guide;0
1;Sea Gate Stormcaller;0
1;Suspicious Stowaway;0
1;Robber of the Rich;0
1;Cemetery Gatekeeper;0
1;Dreadhorde Arcanist;0
1;Brazen Borrower;0
1;Goblin Rabblemaster;0
1;Hazoret the Fervent;0
1;Glorybringer;0
1;Riverglide Pathway;0
1;Tundra;0
1;Volcanic Island;0
1;Steam Vents;0
1;Flooded Strand;0
1;Scalding Tarn;0
1;Misty Rainforest;0
1;Bloodstained Mire;0
1;Wasteland;0
4;Island;0
3;Mountain;0
1;Ponder;0
1;Spell Pierce;0
1;Preordain;0
1;Flame Slash;0
1;Strangle;0
1;Remand;0
1;Mana Leak;0
1;Abrade;0
1;Reckless Impulse;0
1;Expressive Iteration;0
1;Rift Bolt;0
1;Chandra, Acolyte of Flame;0
1;Cryptic Command;0
1;Dark Depths;1
1;Indatha Triome;1
1;Mox Diamond;1
1;Exploration;1
1;Dread Wanderer;1
1;Growth Spiral;1
1;Rip Apart;1
1;Melira, Sylvok Outcast;1
1;Metalworker;1
1;Crucible of Worlds;1
1;Cogwork Librarian;1
1;Yorion, Sky Nomad;1
