Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Goblin Welder;0
1;Thalia, Guardian of Thraben;0
1;Phyrexian Revoker;0
1;Monastery Mentor;0
1;General Ferrous Rokiric;0
1;Phyrexian Metamorph;0
1;Solemn Simulacrum;0
1;Lodestone Golem;0
1;Golos, Tireless Pilgrim;0
1;Sphinx of the Steel Wind;0
1;Lotus Petal;0
1;Tolarian Academy;0
1;Needle Spires;0
3;Island;0
4;Mountain;0
8;Plains;0
1;Orzhov Signet;0
1;Smuggler's Copter;0
1;Mind Stone;0
1;Sorcerous Spyglass;0
1;Teferi, Time Raveler;0
1;Nahiri, the Harbinger;0
1;Ajani Vengeant;0
1;Smokestack;0
1;Karn, Scion of Urza;0
1;Thran Dynamo;0
1;Teferi, Hero of Dominaria;0
1;Mindslaver;0
1;Temple Garden;1
1;Indatha Triome;1
1;Skullclamp;1
1;Balance;1
1;Stoneforge Mystic;1
1;Unexpectedly Absent;1
1;Dark Confidant;1
1;Runaway Steam-Kin;1
1;Vanishing Verse;1
1;Angrath's Rampage;1
1;History of Benalia;1
1;Tireless Tracker;1
1;Lutri, the Spellchaser;1
1;Heirloom Blade;1
1;Opposition;1
1;Rankle, Master of Pranks;1
1;Harmonize;1
1;Reveillark;1
1;Spectral Procession;1
1;Torrential Gearhulk;1
1;Embercleave;1
1;Hornet Queen;1
