Number_of_card;Card_name;Is_in_sideboard
1;Esper Sentinel;0
1;Dragon's Rage Channeler;0
1;Thing in the Ice;0
1;Monastery Mentor;0
1;Skyclave Apparition;0
1;Palace Jailer;0
1;Solitude;0
1;Glorybringer;0
1;Fury;0
1;Urza's Bauble;0
1;Needleverge Pathway;0
1;Karakas;0
1;Plateau;0
1;Steam Vents;0
1;Maze of Ith;0
2;Plains;0
3;Mountain;0
6;Island;0
1;Opt;0
1;Lightning Bolt;0
1;Tarfire;0
1;Mana Leak;0
1;Lose Focus;0
1;Shatterskull Smashing;0
1;Lightning Strike;0
1;Lightning Helix;0
1;Narset, Parter of Veils;0
1;Force of Negation;0
1;Memory Deluge;0
1;Chandra, Torch of Defiance;0
1;Fiery Confluence;0
1;Teferi, Hero of Dominaria;0
1;Temple Garden;1
1;Dark Depths;1
1;Stonecoil Serpent;1
1;Walking Ballista;1
1;Usher of the Fallen;1
1;Finale of Devastation;1
1;Skyclave Shade;1
1;Soulherder;1
1;Mayhem Devil;1
1;Maelstrom Pulse;1
1;Knight of Autumn;1
1;Knight of the Reliquary;1
1;Lutri, the Spellchaser;1
1;Legion Warboss;1
1;Chandra, Acolyte of Flame;1
1;Bloodbraid Elf;1
1;Showdown of the Skalds;1
1;Hellrider;1
1;Archangel Avacyn;1
1;Dig Through Time;1
