Number_of_card;Card_name;Is_in_sideboard
1;Goblin Welder;0
1;Glasspool Mimic;0
1;Imperial Recruiter;0
1;Metalworker;0
1;Phyrexian Metamorph;0
1;Glen Elendra Archmage;0
1;Solemn Simulacrum;0
1;Sphinx of the Steel Wind;0
1;Phyrexian Triniform;0
1;Ulamog, the Infinite Gyre;0
1;Hengegate Pathway;0
1;Mystic Sanctuary;0
1;Shelldock Isle;0
1;Great Furnace;0
1;Hallowed Fountain;0
1;Sacred Foundry;0
1;Steam Vents;0
1;Volcanic Island;0
1;Scalding Tarn;0
1;Ash Barrens;0
2;Island;0
2;Mountain;0
1;Plains;0
1;Enlightened Tutor;0
1;Balance;0
1;Chart a Course;0
1;Boros Signet;0
1;Dimir Signet;0
1;Azorius Signet;0
1;Tinker;0
1;Dack Fayden;0
1;Coalition Relic;0
1;Chromatic Lantern;0
1;Sneak Attack;0
1;Daretti, Scrap Savant;0
1;Mystic Confluence;0
1;Through the Breach;0
1;Wildfire;0
1;Taiga;1
1;Botanical Sanctum;1
1;Bayou;1
1;Unholy Heat;1
1;Phyrexian Revoker;1
1;Remand;1
1;Selfless Spirit;1
1;Falkenrath Aristocrat;1
1;Magus of the Order;1
1;Fires of Invention;1
1;Parallax Wave;1
