Number_of_card;Card_name;Is_in_sideboard
1;Walking Ballista;0
1;Thing in the Ice;0
1;Snapcaster Mage;0
1;Monastery Mentor;0
1;Trinket Mage;0
1;Pia and Kiran Nalaar;0
1;Venser, Shaper Savant;0
1;Elesh Norn, Grand Cenobite;0
1;Blightsteel Colossus;0
1;Mishra's Bauble;0
1;Riverglide Pathway;0
1;Celestial Colonnade;0
1;Hallowed Fountain;0
1;Inspiring Vantage;0
1;Needle Spires;0
2;Plains;0
3;Mountain;0
6;Island;0
1;Path to Exile;0
1;Gitaxian Probe;0
1;Opt;0
1;Mystical Tutor;0
1;Chart a Course;0
1;Mana Leak;0
1;Expressive Iteration;0
1;Izzet Charm;0
1;Force of Negation;0
1;Tinker;0
1;Show and Tell;0
1;Thirst for Knowledge;0
1;Nahiri, the Harbinger;0
1;Time Warp;0
1;Tectonic Edge;1
1;Legion's Landing;1
1;Soldier of the Pantheon;1
1;Dragon Hunter;1
1;Kytheon, Hero of Akros;1
1;Lightning Helix;1
1;Dreadhorde Arcanist;1
1;Goblin Cratermaker;1
1;Suspicious Stowaway;1
1;Remand;1
1;Unexpectedly Absent;1
1;Knight of Autumn;1
1;Spell Queller;1
1;Showdown of the Skalds;1
1;Prime Speaker Vannifar;1
1;Kenrith, the Returned King;1
1;Sun Titan;1
1;Treasure Cruise;1
