Number_of_card;Card_name;Is_in_sideboard
1;Elvish Reclaimer;0
1;Birds of Paradise;0
1;Elves of Deep Shadow;0
1;Avacyn's Pilgrim;0
1;Gilded Goose;0
1;Ignoble Hierarch;0
1;Springbloom Druid;0
1;Tireless Tracker;0
1;Timeless Witness;0
1;Hornet Queen;0
1;Myr Battlesphere;0
1;Emrakul, the Aeons Torn;0
1;Temple of Malice;0
1;Overgrown Tomb;0
1;Raging Ravine;0
1;Swamp;0
10;Forest;0
2;Mountain;0
1;Vampiric Tutor;0
1;Fatal Push;0
1;Skullclamp;0
1;Channel;0
1;Assassin's Trophy;0
1;Agadeem's Awakening;0
1;Xenagos, the Reveler;0
1;Natural Order;0
1;Thran Dynamo;0
1;Coercive Portal;0
1;Through the Breach;0
1;Ugin, the Spirit Dragon;0
