Number_of_card;Card_name;Is_in_sideboard
1;Putrid Imp;0
1;Arbor Elf;0
1;Elvish Mystic;0
1;Scavenging Ooze;0
1;Wall of Roots;0
1;Ornithopter of Paradise;0
1;Rotting Regisaur;0
1;Ophiomancer;0
1;Thragtusk;0
1;Griselbrand;0
1;Hornet Queen;0
1;Woodfall Primus;0
1;Kozilek, Butcher of Truth;0
1;Sphinx of the Steel Wind;0
1;Bayou;0
1;Overgrown Tomb;0
1;Copperline Gorge;0
1;Stomping Ground;0
1;Mountain;0
5;Forest;0
5;Swamp;0
1;Faithless Looting;0
1;Unmarked Grave;0
1;Shallow Grave;0
1;Animate Dead;0
1;Exhume;0
1;Survival of the Fittest;0
1;Corpse Dance;0
1;Necromancy;0
1;Liliana of the Veil;0
1;Recurring Nightmare;0
1;Sneak Attack;0
1;Darksteel Citadel;1
1;Carrion Feeder;1
1;Hard Evidence;1
1;Mother of Runes;1
1;Phyrexian Revoker;1
1;Eladamri's Call;1
1;Voracious Hydra;1
1;Outland Liberator;1
1;Sword of Fire and Ice;1
1;Tireless Tracker;1
1;Xathrid Necromancer;1
1;Magus of the Order;1
1;The Scarab God;1
1;Escape to the Wilds;1
1;Tasigur, the Golden Fang;1
1;Ulamog, the Infinite Gyre;1
1;Myr Battlesphere;1
