Number_of_card;Card_name;Is_in_sideboard
1;Fyndhorn Elves;0
1;Elvish Reclaimer;0
1;Dark Confidant;0
1;Robber of the Rich;0
1;Lotus Cobra;0
1;Murderous Rider;0
1;Mayhem Devil;0
1;Falkenrath Aristocrat;0
1;Bloodbraid Elf;0
1;Glorybringer;0
1;Grave Titan;0
1;Lotus Petal;0
1;Blightstep Pathway;0
1;Cragcrown Pathway;0
1;Tranquil Thicket;0
1;Lair of the Hydra;0
1;Plateau;0
1;Overgrown Tomb;0
1;Bayou;0
1;Raging Ravine;0
1;Marsh Flats;0
1;Arid Mesa;0
1;Wooded Foothills;0
1;Strip Mine;0
1;Mountain;0
2;Swamp;0
2;Forest;0
1;Bloodchief's Thirst;0
1;Lightning Bolt;0
1;Abundant Harvest;0
1;Chromatic Star;0
1;Sylvan Library;0
1;Wrenn and Six;0
1;Dismember;0
1;Grist, the Hunger Tide;0
1;Garruk Wildspeaker;0
1;Arlinn, the Pack's Hope;0
1;Nissa, Who Shakes the World;0
1;Urza's Bauble;1
1;Imperial Seal;1
1;Lore Seeker;1
1;Life from the Loam;1
1;Lose Focus;1
1;Toxic Deluge;1
1;Emry, Lurker of the Loch;1
1;Damnation;1
1;Golos, Tireless Pilgrim;1
1;Niv-Mizzet Reborn;1
1;Shark Typhoon;1
1;Nexus of Fate;1
