Number_of_card;Card_name;Is_in_sideboard
1;Dread Wanderer;0
1;Monastery Swiftspear;0
1;Bomat Courier;0
1;Wight;0
1;Kari Zev, Skyship Raider;0
1;Earthshaker Khenra;0
1;Robber of the Rich;0
1;Rotting Regisaur;0
1;Goblin Rabblemaster;0
1;Grief;0
1;Hellrider;0
1;Ilharg, the Raze-Boar;0
1;Zealous Conscripts;0
1;Inferno Titan;0
1;Blood Crypt;0
1;Blackcleave Cliffs;0
1;Fabled Passage;0
3;Plains;0
5;Swamp;0
5;Mountain;0
1;Fatal Push;0
1;Duress;0
1;Bone Shards;0
1;Vampiric Tutor;0
1;Hymn to Tourach;0
1;Lightning Helix;0
1;Lingering Souls;0
1;Fireblast;0
1;Sulfuric Vortex;0
1;Lightning Strike;0
1;Wandering Fumarole;1
1;Phyrexian Tower;1
1;Kytheon, Hero of Akros;1
1;Giver of Runes;1
1;Path to Exile;1
1;Student of Warfare;1
1;Cryptbreaker;1
1;Blazing Rootwalla;1
1;Soul-Scar Mage;1
1;Vampire Hexmage;1
1;Life from the Loam;1
1;Toxic Deluge;1
1;Midnight Reaper;1
1;Light Up the Stage;1
1;Wrath of God;1
1;Prime Speaker Vannifar;1
1;Timeless Dragon;1
1;Ob Nixilis Reignited;1
1;Niv-Mizzet Reborn;1
1;Batterskull;1
1;Wildfire;1
