Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Cathar Commando;0
1;Selfless Spirit;0
1;Hanweir Garrison;0
1;Basri's Lieutenant;0
1;Pia and Kiran Nalaar;0
1;Blightstep Pathway;0
1;Den of the Bugbear;0
1;Concealed Courtyard;0
1;Sacred Foundry;0
1;Blackcleave Cliffs;0
1;Marsh Flats;0
1;Bloodstained Mire;0
4;Plains;0
2;Mountain;0
3;Swamp;0
1;Path to Exile;0
1;Imperial Seal;0
1;Duress;0
1;Fateful Absence;0
1;Damn;0
1;Searing Spear;0
1;Rip Apart;0
1;Rakdos Signet;0
1;Lingering Souls;0
1;Council's Judgment;0
1;Daretti, Ingenious Iconoclast;0
1;Vindicate;0
1;Elspeth, Knight-Errant;0
1;Day of Judgment;0
1;Nahiri, the Harbinger;0
1;Karn, Scion of Urza;0
1;Approach of the Second Sun;0
1;Emeria's Call;0
1;Mox Diamond;1
1;Figure of Destiny;1
1;Goblin Guide;1
1;Bone Shards;1
1;Dark Ritual;1
1;Gutterbones;1
1;Knight of the Ebon Legion;1
1;Giver of Runes;1
1;Dragon Hunter;1
1;Eidolon of the Great Revel;1
1;Adanto Vanguard;1
1;Lurrus of the Dream-Den;1
1;Spike Feeder;1
1;Dryad of the Ilysian Grove;1
1;Sulfuric Vortex;1
1;Feldon of the Third Path;1
1;Agadeem's Awakening;1
1;Damnation;1
