Number_of_card;Card_name;Is_in_sideboard
1;Arid Mesa;0
1;Cryptbreaker;0
1;Knight of the Ebon Legion;0
1;Dread Wanderer;0
1;Ragavan, Nimble Pilferer;0
1;Figure of Destiny;0
1;Rakdos Cackler;0
1;Blade of the Oni;0
1;Bloodghast;0
1;Recruiter of the Guard;0
1;Thalia, Heretic Cathar;0
1;Rotting Regisaur;0
1;Palace Jailer;0
1;Restoration Angel;0
1;Falkenrath Aristocrat;0
1;Glorybringer;0
1;Cave of the Frost Dragon;0
1;Den of the Bugbear;0
1;Godless Shrine;0
1;Inspiring Vantage;0
1;Sacred Foundry;0
1;Badlands;0
1;Blackcleave Cliffs;0
1;Flooded Strand;0
1;Marsh Flats;0
1;Arid Mesa;0
1;Plains;0
2;Swamp;0
2;Mountain;0
1;Prismatic Ending;0
1;Duress;0
1;Fateful Absence;0
1;Abrade;0
1;Goblin Bombardment;0
1;Vanishing Verse;0
1;Dismember;0
1;Daretti, Ingenious Iconoclast;0
1;Fireblast;0
1;Goblin Welder;1
1;Serum Visions;1
1;Lesser Masticore;1
1;Izzet Charm;1
1;Vizier of Remedies;1
1;Stoneforge Mystic;1
1;Teferi, Time Raveler;1
1;Emry, Lurker of the Loch;1
1;Karn, Scion of Urza;1
1;Escape to the Wilds;1
