Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Dauntless Bodyguard;0
1;Luminarch Aspirant;0
1;Selfless Spirit;0
1;Seasoned Hallowblade;0
1;Jadar, Ghoulcaller of Nephalia;0
1;Robber of the Rich;0
1;Kari Zev, Skyship Raider;0
1;Dire Fleet Daredevil;0
1;Porcelain Legionnaire;0
1;Recruiter of the Guard;0
1;Elite Spellbinder;0
1;Blade Splicer;0
1;Ophiomancer;0
1;Goblin Rabblemaster;0
1;Yawgmoth, Thran Physician;0
1;Falkenrath Aristocrat;0
1;Glorybringer;0
1;Needleverge Pathway;0
1;Inspiring Vantage;0
1;Sacred Foundry;0
1;Arid Mesa;0
1;Marsh Flats;0
5;Swamp;0
2;Mountain;0
4;Plains;0
1;Portable Hole;0
1;Forked Bolt;0
1;Chain Lightning;0
1;Spikefield Hazard;0
1;Seal of Fire;0
1;Lingering Souls;0
1;Tolarian Academy;1
1;Branchloft Pathway;1
1;Stonecoil Serpent;1
1;Avacyn's Pilgrim;1
1;Falkenrath Pit Fighter;1
1;Zurgo Bellstriker;1
1;Dread Wanderer;1
1;Knight of the Ebon Legion;1
1;Putrid Goblin;1
1;Damn;1
1;Anafenza, Kin-Tree Spirit;1
1;Hanweir Garrison;1
1;Liliana of the Veil;1
1;Rotting Regisaur;1
1;Emry, Lurker of the Loch;1
1;Wrath of God;1
1;Archangel of Thune;1
1;Treasure Cruise;1
