Number_of_card;Card_name;Is_in_sideboard
1;Chrome Mox;0
1;Everflowing Chalice;0
1;Mox Diamond;0
1;Emry, Lurker of the Loch;0
1;Urza, Lord High Artificer;0
1;Venser, Shaper Savant;0
1;Riftwing Cloudskate;0
1;Myr Battlesphere;0
1;Lonely Sandbar;0
1;Tolarian Academy;0
1;Seat of the Synod;0
1;Watery Grave;0
1;Darksteel Citadel;0
1;Ancient Tomb;0
3;Swamp;0
6;Island;0
1;Preordain;0
1;Mind Twist;0
1;Lose Focus;0
1;Mana Leak;0
1;Counterspell;0
1;Winter Orb;0
1;Mind Stone;0
1;Simic Signet;0
1;Izzet Signet;0
1;Thirst for Knowledge;0
1;Memory Deluge;0
1;Cryptic Command;0
1;Shark Typhoon;0
1;Mindslaver;0
1;Treasure Cruise;0
1;Force of Negation;0
1;Entomb;1
1;Putrid Imp;1
1;Gruul Signet;1
1;Earthshaker Khenra;1
1;Oona's Prowler;1
1;Unmarked Grave;1
1;Baral, Chief of Compliance;1
1;Lutri, the Spellchaser;1
1;Show and Tell;1
1;Cogwork Librarian;1
1;Braids, Cabal Minion;1
1;Elspeth, Knight-Errant;1
1;Niv-Mizzet Reborn;1
1;Inferno Titan;1
1;Blightsteel Colossus;1
1;Craterhoof Behemoth;1
1;Alrund's Epiphany;1
