Number_of_card;Card_name;Is_in_sideboard
1;Joraga Treespeaker;0
1;Gilded Goose;0
1;Arbor Elf;0
1;Avacyn's Pilgrim;0
1;Fyndhorn Elves;0
1;Noble Hierarch;0
1;Outland Liberator;0
1;Devoted Druid;0
1;Rofellos, Llanowar Emissary;0
1;Sakura-Tribe Elder;0
1;Voracious Hydra;0
1;Augur of Autumn;0
1;Questing Beast;0
1;Lodestone Golem;0
1;Deep Forest Hermit;0
1;Carnage Tyrant;0
1;Wurmcoil Engine;0
1;Sundering Titan;0
1;Mishra's Factory;0
1;Wasteland;0
1;Lair of the Hydra;0
11;Forest;0
1;Pest Infestation;0
1;Simic Signet;0
1;Esika's Chariot;0
1;Coercive Portal;0
1;Nissa, Who Shakes the World;0
1;Turntimber Symbiosis;0
1;Ugin, the Spirit Dragon;0
1;Hallowed Fountain;1
1;Botanical Sanctum;1
1;Breeding Pool;1
1;Overgrown Tomb;1
1;Arid Mesa;1
1;Wooded Foothills;1
1;Fabled Passage;1
1;Seal of Fire;1
1;Bonesplitter;1
1;Rakdos Cackler;1
1;Tarmogoyf;1
1;Goblin Cratermaker;1
1;Flametongue Yearling;1
1;Brazen Borrower;1
1;Reckless Stormseeker;1
1;Uro, Titan of Nature's Wrath;1
1;Toski, Bearer of Secrets;1
1;Omnath, Locus of Creation;1
1;Falkenrath Aristocrat;1
1;Thragtusk;1
1;Terastodon;1
