Number_of_card;Card_name;Is_in_sideboard
1;Falkenrath Pit Fighter;0
1;Zurgo Bellstriker;0
1;Monastery Swiftspear;0
1;Soul-Scar Mage;0
1;Grim Lavamancer;0
1;Ragavan, Nimble Pilferer;0
1;Earthshaker Khenra;0
1;Eidolon of the Great Revel;0
1;Phyrexian Revoker;0
1;Bonecrusher Giant;0
1;Hellrider;0
1;Murderous Redcap;0
1;Zealous Conscripts;0
1;Urza's Bauble;0
1;Den of the Bugbear;0
1;Mutavault;0
14;Mountain;0
1;Seal of Fire;0
1;Tarfire;0
1;Flame Slash;0
1;Searing Spear;0
1;Abrade;0
1;Sulfuric Vortex;0
1;Rift Bolt;0
1;Wheel of Fortune;0
1;Fiery Confluence;0
1;Fireblast;0
1;Inspiring Vantage;1
1;Sacred Foundry;1
1;Plateau;1
1;Raging Ravine;1
1;Spirebluff Canal;1
1;Duress;1
1;Izzet Charm;1
1;Lightning Greaves;1
1;Vizier of Remedies;1
1;Intrepid Adversary;1
1;Monastery Mentor;1
1;Elite Spellbinder;1
1;Maul of the Skyclaves;1
1;Falkenrath Aristocrat;1
1;Polukranos, World Eater;1
1;Splinter Twin;1
1;Wrath of God;1
1;Kenrith, the Returned King;1
1;Mindslaver;1
1;Ethereal Forager;1
1;Myr Battlesphere;1
