Number_of_card;Card_name;Is_in_sideboard
1;Monastery Swiftspear;0
1;Falkenrath Pit Fighter;0
1;Goblin Guide;0
1;Figure of Destiny;0
1;Robber of the Rich;0
1;Eidolon of the Great Revel;0
1;Bloodthirsty Adversary;0
1;Porcelain Legionnaire;0
1;Goblin Rabblemaster;0
1;Laelia, the Blade Reforged;0
1;Hanweir Garrison;0
1;Mayhem Devil;0
1;Lodestone Golem;0
1;Urza's Bauble;0
1;Mishra's Bauble;0
1;Blackcleave Cliffs;0
1;Mishra's Factory;0
1;Rishadan Port;0
2;Swamp;0
10;Mountain;0
1;Malakir Rebirth;0
1;Seal of Fire;0
1;Tarfire;0
1;Bonesplitter;0
1;Dismember;0
1;Umezawa's Jitte;0
1;Sulfuric Vortex;0
1;Chandra, Torch of Defiance;0
1;Karn, Scion of Urza;0
1;Fireblast;0
1;Godless Shrine;1
1;Blooming Marsh;1
1;Windswept Heath;1
1;Scalding Tarn;1
1;Abundant Harvest;1
1;Traverse the Ulvenwald;1
1;Selfless Spirit;1
1;Adanto Vanguard;1
1;Jadar, Ghoulcaller of Nephalia;1
1;Outland Liberator;1
1;Scavenging Ooze;1
1;Grim Flayer;1
1;Life // Death;1
1;Sedgemoor Witch;1
1;Esika's Chariot;1
1;Kiki-Jiki, Mirror Breaker;1
1;Mindslaver;1
