Number_of_card;Card_name;Is_in_sideboard
1;Noble Hierarch;0
1;Fyndhorn Elves;0
1;Rofellos, Llanowar Emissary;0
1;Scavenging Ooze;0
1;Devoted Druid;0
1;Containment Construct;0
1;Augur of Autumn;0
1;Reclamation Sage;0
1;Dryad of the Ilysian Grove;0
1;Briarbridge Tracker;0
1;Carnage Tyrant;0
1;Craterhoof Behemoth;0
1;Lotus Petal;0
1;Engineered Explosives;0
1;Verdant Catacombs;0
15;Forest;0
1;Pest Infestation;0
1;Skullclamp;0
1;Edge of Autumn;0
1;Bala Ged Recovery;0
1;Chord of Calling;0
1;Garruk Wildspeaker;0
1;Esika's Chariot;0
1;Nissa, Who Shakes the World;0
1;Batterskull;0
1;Mindslaver;0
1;Crystal Vein;1
1;Badlands;1
1;Breeding Pool;1
1;Fastbond;1
1;Orcish Lumberjack;1
1;Imperial Seal;1
1;Vampiric Tutor;1
1;Gravecrawler;1
1;Selesnya Signet;1
1;Simic Signet;1
1;Assassin's Trophy;1
1;Life from the Loam;1
1;Infernal Grasp;1
1;Basalt Monolith;1
1;Maelstrom Pulse;1
1;Liliana of the Veil;1
1;Smokestack;1
1;Hostage Taker;1
1;Grief;1
1;Escape to the Wilds;1
