Number_of_card;Card_name;Is_in_sideboard
1;Monastery Swiftspear;0
1;Grim Lavamancer;0
1;Zurgo Bellstriker;0
1;Ragavan, Nimble Pilferer;0
1;Rakdos Cackler;0
1;Eidolon of the Great Revel;0
1;Young Pyromancer;0
1;Kari Zev, Skyship Raider;0
1;Embereth Shieldbreaker;0
1;Bloodthirsty Adversary;0
1;Phyrexian Revoker;0
1;Laelia, the Blade Reforged;0
1;Seasoned Pyromancer;0
1;Hellrider;0
1;Pia and Kiran Nalaar;0
1;Inferno Titan;0
1;Chrome Mox;0
1;Den of the Bugbear;0
1;Strip Mine;0
1;Ancient Tomb;0
12;Mountain;0
1;Unholy Heat;0
1;Pyrite Spellbomb;0
1;Bonesplitter;0
1;Searing Spear;0
1;Liquimetal Torque;0
1;Sulfuric Vortex;0
1;Fable of the Mirror-Breaker;0
1;Chandra, Torch of Defiance;0
1;Chromatic Sphere;1
1;Sensei's Divining Top;1
1;Arbor Elf;1
1;Metallic Mimic;1
1;Wrenn and Six;1
1;Izzet Charm;1
1;Goblin Engineer;1
1;Damn;1
1;Unexpectedly Absent;1
1;Blasting Station;1
1;Mayhem Devil;1
1;Kitchen Finks;1
1;Skyclave Apparition;1
1;Lodestone Golem;1
1;Birthing Pod;1
1;Wrath of God;1
