Number_of_card;Card_name;Is_in_sideboard
1;Rabbit Battery;0
1;Ragavan, Nimble Pilferer;0
1;Grim Lavamancer;0
1;Bomat Courier;0
1;Rakdos Cackler;0
1;Young Pyromancer;0
1;Earthshaker Khenra;0
1;Embereth Shieldbreaker;0
1;Kari Zev, Skyship Raider;0
1;Metallic Mimic;0
1;Seasoned Pyromancer;0
1;Fable of the Mirror-Breaker;0
1;Hazoret the Fervent;0
1;Hellrider;0
1;Fury;0
1;Rishadan Port;0
1;Bloodstained Mire;0
15;Mountain;0
1;Chain Lightning;0
1;Flame Slash;0
1;Rift Bolt;0
1;Searing Spear;0
1;Umezawa's Jitte;0
1;Light Up the Stage;0
1;Fiery Confluence;0
1;Fireblast;0
1;Verdant Catacombs;1
1;Blood Crypt;1
1;Badlands;1
1;Riverglide Pathway;1
1;Engineered Explosives;1
1;Mishra's Bauble;1
1;Bloodsoaked Champion;1
1;Usher of the Fallen;1
1;Bitterblossom;1
1;Blood Artist;1
1;Dark Confidant;1
1;Anafenza, Kin-Tree Spirit;1
1;Mayhem Devil;1
1;Kolaghan's Command;1
1;Lutri, the Spellchaser;1
1;Midnight Reaper;1
1;Adeline, Resplendent Cathar;1
1;Karn, Scion of Urza;1
1;Day of Judgment;1
