Number_of_card;Card_name;Is_in_sideboard
1;Esper Sentinel;0
1;Champion of the Parish;0
1;Thraben Inspector;0
1;Sungold Sentinel;0
1;Thalia, Guardian of Thraben;0
1;Selfless Spirit;0
1;Scrapheap Scrounger;0
1;Intrepid Adversary;0
1;Ranger-Captain of Eos;0
1;Recruiter of the Guard;0
1;Elite Spellbinder;0
1;Flickerwisp;0
1;Blade Splicer;0
1;Lurrus of the Dream-Den;0
1;Palace Jailer;0
1;Mishra's Bauble;0
1;Urza's Bauble;0
1;Brightclimb Pathway;0
1;Silent Clearing;0
1;Mishra's Factory;0
12;Plains;0
1;Swords to Plowshares;0
1;Mana Tithe;0
1;Umezawa's Jitte;0
1;Dismember;0
1;Grafted Wargear;0
1;Parallax Wave;0
1;Gideon, Ally of Zendikar;0
1;Emeria's Call;0
1;Retrofitter Foundry;1
1;Jack-o'-Lantern;1
1;Malakir Rebirth;1
1;Duress;1
1;Fatal Push;1
1;Knight of the Ebon Legion;1
1;Vanishing Verse;1
1;Dauthi Voidwalker;1
1;Putrid Goblin;1
1;Oona's Prowler;1
1;Skyclave Shade;1
1;Midnight Reaper;1
1;Woe Strider;1
1;Snuff Out;1
1;Yawgmoth, Thran Physician;1
1;Rankle, Master of Pranks;1
1;Elspeth, Sun's Champion;1
