Number_of_card;Card_name;Is_in_sideboard
1;Walking Ballista;0
1;Elves of Deep Shadow;0
1;Birds of Paradise;0
1;Llanowar Elves;0
1;Joraga Treespeaker;0
1;Lotus Cobra;0
1;Voracious Hydra;0
1;Hydroid Krasis;0
1;Tireless Tracker;0
1;Knight of the Reliquary;0
1;Uro, Titan of Nature's Wrath;0
1;Omnath, Locus of Creation;0
1;Primeval Titan;0
1;Dragonlord Atarka;0
1;Ulamog, the Ceaseless Hunger;0
1;Barkchannel Pathway;0
1;Lair of the Hydra;0
1;Sunbaked Canyon;0
1;Temple Garden;0
1;Raging Ravine;0
1;Spara's Headquarters;0
1;Ziatora's Proving Ground;0
1;Scalding Tarn;0
1;Verdant Catacombs;0
7;Forest;0
1;Abundant Harvest;0
1;Worldly Tutor;0
1;Green Sun's Zenith;0
1;Sylvan Library;0
1;Eladamri's Call;0
1;Grim Monolith;0
1;Worn Powerstone;0
1;Vivien, Monsters' Advocate;0
1;Ugin, the Spirit Dragon;0
1;Chromatic Star;1
1;Crop Rotation;1
1;Viscera Seer;1
1;Usher of the Fallen;1
1;Portable Hole;1
1;Adanto Vanguard;1
1;Toski, Bearer of Secrets;1
1;Deep Forest Hermit;1
1;Time Warp;1
1;Treachery;1
1;Tovolar's Huntmaster;1
1;Upheaval;1
