Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Thraben Inspector;0
1;Giver of Runes;0
1;Usher of the Fallen;0
1;Sungold Sentinel;0
1;Thalia, Guardian of Thraben;0
1;Stoneforge Mystic;0
1;Seasoned Hallowblade;0
1;Dark Confidant;0
1;Priest of Forgotten Gods;0
1;Blade Splicer;0
1;Thalia, Heretic Cathar;0
1;Flickerwisp;0
1;Xathrid Necromancer;0
1;Murderous Rider;0
1;Kitchen Finks;0
1;Palace Jailer;0
1;Reveillark;0
1;Arid Mesa;0
1;Fabled Passage;0
1;Cave of the Frost Dragon;0
1;Scrubland;0
1;Shambling Vent;0
1;Savai Triome;0
1;Strip Mine;0
1;Urza's Saga;0
3;Swamp;0
5;Plains;0
1;Mana Tithe;0
1;Skullclamp;0
1;Lingering Souls;0
1;Gideon, Ally of Zendikar;0
1;Ravages of War;0
1;Elspeth Conquers Death;0
1;Gavony Township;1
1;Great Furnace;1
1;Thespian's Stage;1
1;Darksteel Citadel;1
1;Fastbond;1
1;Putrid Imp;1
1;Lore Seeker;1
1;Outland Liberator;1
1;Wall of Omens;1
1;Metalworker;1
1;Smokestack;1
1;Esika's Chariot;1
1;Splinter Twin;1
1;Kenrith, the Returned King;1
1;Grave Titan;1
1;Nicol Bolas, Planeswalker;1
1;Turntimber Symbiosis;1
1;Deep Forest Hermit;1
1;Blooming Marsh;1
