Number_of_card;Card_name;Is_in_sideboard
1;Carrion Feeder;0
1;Bloodsoaked Champion;0
1;Bomat Courier;0
1;Putrid Goblin;0
1;Blood Artist;0
1;Jadar, Ghoulcaller of Nephalia;0
1;Bloodghast;0
1;Dire Fleet Daredevil;0
1;Woe Strider;0
1;Ophiomancer;0
1;Goblin Rabblemaster;0
1;Rankle, Master of Pranks;0
1;Yawgmoth, Thran Physician;0
1;Grief;0
1;Zealous Conscripts;0
1;Mishra's Bauble;0
1;Hive of the Eye Tyrant;0
1;Badlands;0
1;Scalding Tarn;0
1;Verdant Catacombs;0
3;Mountain;0
8;Swamp;0
1;Inquisition of Kozilek;0
1;Seal of Fire;0
1;Collective Brutality;0
1;Goblin Bombardment;0
1;Agadeem's Awakening;0
1;Liliana, the Last Hope;0
1;Blasting Station;0
1;Snuff Out;0
1;Murderous Cut;0
1;Everflowing Chalice;1
1;Godless Shrine;1
1;Concealed Courtyard;1
1;Scrubland;1
1;Field of Ruin;1
1;Sensei's Divining Top;1
1;Vanishing Verse;1
1;Damn;1
1;Altar of Dementia;1
1;Pack Rat;1
1;Life // Death;1
1;Reckless Stormseeker;1
1;Porcelain Legionnaire;1
1;Armageddon;1
1;Gideon, Ally of Zendikar;1
1;Supreme Verdict;1
1;Fury;1
1;Approach of the Second Sun;1
