Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Walking Ballista;0
1;Stonecoil Serpent;0
1;Monastery Swiftspear;0
1;Zurgo Bellstriker;0
1;Soul-Scar Mage;0
1;Grim Lavamancer;0
1;Rakdos Cackler;0
1;Bomat Courier;0
1;Bloodthirsty Adversary;0
1;Embereth Shieldbreaker;0
1;Scrapheap Scrounger;0
1;Hanweir Garrison;0
1;Laelia, the Blade Reforged;0
1;Bonecrusher Giant;0
1;Hazoret the Fervent;0
1;Forgotten Cave;0
1;Savai Triome;0
1;Mishra's Factory;0
1;Strip Mine;0
1;Wooded Foothills;0
1;Plains;0
7;Mountain;0
1;Spikefield Hazard;0
1;Burst Lightning;0
1;Lightning Strike;0
1;Shatterskull Smashing;0
1;Umezawa's Jitte;0
1;Smuggler's Copter;0
1;Dismember;0
1;Sword of Fire and Ice;0
1;Fiery Confluence;0
1;Showdown of the Skalds;0
1;Wandering Fumarole;1
1;Unexpectedly Absent;1
1;Goblin Bombardment;1
1;Wrenn and Six;1
1;Seasoned Hallowblade;1
1;Cathar Commando;1
1;Adanto Vanguard;1
1;Lore Seeker;1
1;Vryn Wingmare;1
1;Woe Strider;1
1;Mayhem Devil;1
1;Oracle of Mul Daya;1
1;Nissa, Who Shakes the World;1
1;Siege-Gang Commander;1
1;Burning of Xinye;1
